Ticket_ID,Date_Created,Truck_ID,Component,Status,Lab_Notes,Mechanic_Action,Last_Updated,Required_Intervention,Sample_Mileage
TKT-20260416142432-MTL114-DIF,2026-04-16 14:24,MTL114,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,724020
TKT-20260416142432-MTL115-ENG,2026-04-16 14:24,MTL115,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,713037
TKT-20260416142432-MTL115-GEA,2026-04-16 14:24,MTL115,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,713037
TKT-20260416142432-MTL115-DIF,2026-04-16 14:24,MTL115,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,713037
TKT-20260416142432-MTL116-ENG,2026-04-16 14:24,MTL116,Engine,3. Lab Results Pending,,,2026-04-16 15:51,,752680
TKT-20260416142432-MTL116-GEA,2026-04-16 14:24,MTL116,Gearbox,3. Lab Results Pending,,,2026-04-16 15:51,,752680
TKT-20260416142432-MTL116-DIF,2026-04-16 14:24,MTL116,Differential,3. Lab Results Pending,,,2026-04-16 15:51,,752680
TKT-20260416142432-MTL117-ENG,2026-04-16 14:24,MTL117,Engine,2. Pending Lab Dispatch,,,2026-04-16 15:48,,771717
TKT-20260416142432-MTL117-GEA,2026-04-16 14:24,MTL117,Gearbox,2. Pending Lab Dispatch,,,2026-04-16 15:48,,771717
TKT-20260416142432-MTL117-DIF,2026-04-16 14:24,MTL117,Differential,2. Pending Lab Dispatch,,,2026-04-16 15:48,,771717
